,nameLast,nameGiven,height-plus-weight
175,Alexander,Manuel de Jesus,220.0
176,Alexander,William Henry,227.0
177,Alexander,Grover Cleveland,258.0
178,Alexander,Scott Alain,264.0
179,Alexander,Walter Ernest,235.0
180,Alfaro,Jason,255.0
181,Alfaro,Jorge Mario,299.0
182,Alfonseca,Antonio,327.0
183,Alfonzo,Edgardo Antonio,281.0
184,Alfonzo,Eliezer Jesus,291.0
185,Alicea,Luis Rene,234.0
186,Allanson,Andrew Neal,297.0
187,Allard,Brian Marshall,248.0
188,Allen,Bernard Keith,247.0
189,Allen,Robert Gilman,246.0
190,Allen,Robert,250.0
191,Allen,Robert Earl,238.0
192,Allen,Robert Gray,249.0
193,Allen,Brandon Durell,304.0
194,Allen,John Chad,268.0
195,Allen,Cody Edward,283.0
196,Allen,Richard Anthony,258.0
197,Allen,Dustin R.,291.0
198,Allen,Ethan Nathan,253.0
199,Allen,Frank Leon,244.0
200,Allenson,Gary Martin,256.0
201,Allen,Frank Erwin,
202,Allen,Harold Andrew,262.0
203,Allen,Hezekiah,231.0
204,Allen,Horace Tanner,259.0
205,Allen,Cyrus Alban,
206,Allen,James Bradley,277.0
207,Allensworth,Jermaine LaMont,250.0
208,Allen,John Marshall,243.0
209,Allen,John Thomas,252.0
210,Allen,Kim Bryant,246.0
211,Allen,Lloyd Cecil,258.0
212,Allen,Lucas Gale,282.0
213,Allen,Myron Smith,218.0
214,Allen,Neil Patrick,260.0
215,Allen,Artemus Ward,252.0
216,Allen,Jesse Hall,253.0
217,Allen,Ronald Frederick,280.0
218,Allen,Roderick Bernet,258.0
219,Allen,Fletcher Manson,253.0
220,Alley,Leonard Eugene,230.0
221,Allietta,Robert George,262.0
222,Allie,Gair Roosevelt,263.0
223,Allison,Andrew Kent,220.0
224,Allison,Arthur Algernon,218.0
225,Allison,William,
226,Allison,William Robert,280.0
227,Allison,Dana Eric,290.0
228,Allison,Douglas L.,230.0
229,Allison,Mack Pendleton,258.0
230,Allison,Milo Henry,235.0
231,Allred,Dale LeBeau,262.0
232,Almada,Baldomero Melo,242.0
233,Almanza,Armando,280.0
234,Almanzar,Carlos Manuel,240.0
235,Almeida,Rafael D.,233.0
236,Almonte,Abraham,279.0
237,Almon,William Francis,255.0
238,Almonte,Edwin,275.0
239,Almonte,Erick R.,319.0
240,Almonte,Hector Radhames,264.0
241,Almonte,Miguel Emilio,284.0
242,Almonte,Zoilo Manuel,277.0
243,Almora,Reinaldo Albert,264.0
244,Aloma,Luis,269.0
245,Alomar,Roberto,256.0
246,Alomar,Santos,209.0
247,Alomar,Santos,277.0
248,Alonso,Yonder,303.0
249,Alou,Felipe Rojas,267.0
250,Alou,Jesus Maria Rojas,264.0
251,Alou,Mateo Rojas,229.0
252,Alou,Moises Rojas,260.0
253,Alpermann,Charles Augustus,250.0
254,Alston,Wendell,252.0
255,Alston,Garvin James,259.0
256,Alston,Thomas Edison,287.0
257,Alston,Walter Emmons,269.0
258,Altamirano,Porfirio,247.0
259,Altavilla,Daniel,271.0
260,Alten,Ernest Matthias,247.0
261,Altenburg,Jesse Howard,227.0
262,Altherr,Aaron Samuel,292.0
263,Altizer,David Tilden,230.0
264,Altman,George Lee,276.0
265,Altobelli,Joseph Salvatore,257.0
266,Altrock,Nicholas,267.0
267,Altuve,Jose Carlos,231.0
268,Alusik,George Joseph,250.0
269,Alvarez,Abraham,264.0
270,Alvarez,Clemente Rafael,251.0
271,Alvarez,Dario Rafael,243.0
272,Alvarez,Dariel,254.0
273,Alvarez,Gabriel de Jesus,258.0
274,Alvarez,Henderson Javier,277.0
275,Alvarez,Jose Lino,240.0
276,Alvarez,Jose Ricardo,261.0
277,Alvarez,Juan M.,253.0
278,Alvarado,Luis Cesar,231.0
279,Alvarez,Jesus Manuel Orlando,237.0
280,Alvarez,Oswaldo,235.0
281,Alvarez,Pedro Manuel,325.0
282,Alvarez,Roy Emilio,299.0
283,Alvarez,Rogelio,254.0
284,Alvarez,Cesar Octavio,320.0
285,Alvarez,Antonio Enrique,273.0
286,Alvarez,Victor Aurelio,220.0
287,Alvarez,Wilson Eduardo,248.0
288,Alvis,Roy Maxwell,256.0
289,Alvord,William Crawford,257.0
290,Alyea,Garrabrant Ryerson,290.0
291,Amalfitano,John Joseph,246.0
292,Amaral,Richard Louis,247.0
293,Amarista,Alexi Jose,226.0
294,Amaro,Ruben,241.0
295,Amaro,Ruben,240.0
296,Ambler,Wayne Harper,233.0
297,Ambres,Raymond Payne,263.0
298,Ambriz,Hector,309.0
299,Amelung,Edward Allen,251.0
300,Ames,Leon Kessling,255.0
301,Ames,Steven C.,278.0
302,Amezaga,Alfredo,236.0
303,Amole,Morris F.,234.0
304,Amoros,Edmundo,237.0
305,Amor,Vicente,257.0
306,Ancker,Walter,263.0
307,Anderson,Alfred Walton,236.0
308,Anderson,Allan Lee,249.0
309,Anderson,Andy Holm,243.0
310,Anderson,William Edward,238.0
311,Anderson,Robert Carl,286.0
312,Anderson,Brady Kevin,243.0
313,Anderson,Brian James,263.0
314,Anderson,Brian Nikola,294.0
315,Anderson,Brett Franklin,305.0
316,Anderson,Bryan Douglas,273.0
317,Anderson,Karl Adam,285.0
318,Anderson,Robert Chase,273.0
319,Anderson,Cody Andrew,316.0
320,Anderson,Norman Craig,279.0
321,Anderson,David S.,
322,Anderson,David Carter,259.0
323,Anderson,Drew Thomas,269.0
324,Anderson,Dwain Cleaven,236.0
325,Anderson,Ferrell Jack,273.0
326,Anderson,John Frederick,254.0
327,Anderson,Garret Joseph,265.0
328,Anderson,George Jendrus,228.0
329,Anderson,Edward John,
